Campus,Discipline,Year,Undergraduate,Graduate
6,18,2004,285,32
6,19,2004,793,50
6,20,2004,1203,187
6,21,2004,1010,82
6,22,2004,1560,0
7,3,2004,92,55
7,4,2004,956,58
7,5,2004,6986,480
7,6,2004,2263,95
7,7,2004,835,378
7,8,2004,2103,1288
7,9,2004,703,172
7,10,2004,2152,202
7,11,2004,158,38
7,12,2004,695,249
7,14,2004,1550,80
7,15,2004,822,206
7,17,2004,267,79
7,18,2004,169,95
7,19,2004,1271,56
7,20,2004,1396,135
7,21,2004,1709,386
7,22,2004,3208,0
8,1,2004,691,100
8,4,2004,722,48
8,5,2004,315,35
8,6,2004,165,0
8,7,2004,130,0
8,8,2004,268,54
8,9,2004,175,0
8,10,2004,714,17
8,11,2004,65,0
8,12,2004,278,0
8,14,2004,878,46
8,15,2004,390,39
8,17,2004,100,0
8,18,2004,222,0
8,19,2004,348,61
8,20,2004,93,35
8,21,2004,650,95
8,22,2004,497,0
9,2,2004,230,0
9,3,2004,89,24
9,4,2004,1523,62
9,5,2004,4087,301
9,6,2004,980,0
9,7,2004,486,122
9,8,2004,867,650
9,9,2004,2444,361
9,10,2004,2538,212
9,11,2004,233,56
9,12,2004,1478,504
9,13,2004,986,124
9,14,2004,2210,63
9,15,2004,2102,330
9,17,2004,355,88
9,18,2004,194,48
9,19,2004,1197,67
9,20,2004,1178,751
9,21,2004,2264,207
9,22,2004,1945,1
10,3,2004,30,38
10,4,2004,660,63
10,5,2004,2587,218
10,6,2004,350,72
10,7,2004,759,79
10,8,2004,3041,2514
10,9,2004,714,207
10,10,2004,691,207
10,11,2004,161,64
10,12,2004,1015,247
10,13,2004,90,100
10,14,2004,1011,17
10,15,2004,529,238
10,17,2004,66,221
10,18,2004,129,105
10,19,2004,832,138
10,20,2004,1271,356
10,21,2004,1047,282
10,22,2004,36,39
11,5,2004,74,0
11,9,2004,259,0
11,14,2004,395,0
11,21,2004,30,0
12,5,2004,509,27
12,6,2004,546,0
12,8,2004,0,68
12,10,2004,79,0
12,14,2004,1013,54
12,15,2004,416,0
12,17,2004,11,0
12,20,2004,131,0
12,21,2004,363,0
12,22,2004,479,2
13,4,2004,1195,81
13,5,2004,5247,198
13,6,2004,1484,96
13,7,2004,856,78
13,8,2004,1366,1598
13,9,2004,1058,406
13,10,2004,1517,135
13,11,2004,118,28
13,12,2004,815,422
13,13,2004,622,93
13,14,2004,2072,31
13,15,2004,1249,252
13,17,2004,180,83
13,18,2004,151,69
13,19,2004,1697,78
13,20,2004,413,14
13,21,2004,2402,273
13,22,2004,2373,0
14,1,2004,833,55
14,2,2004,853,177
14,4,2004,915,64
14,5,2004,4850,156
14,6,2004,297,0
14,7,2004,600,69
14,8,2004,274,245
14,9,2004,3975,154
14,10,2004,702,0
14,11,2004,48,0
14,13,2004,260,0
14,14,2004,823,11
14,15,2004,252,87
14,17,2004,199,50
14,18,2004,200,20
14,19,2004,674,27
14,20,2004,0,36
14,21,2004,845,53
14,22,2004,394,0
15,2,2004,295,0
15,3,2004,10,0
15,4,2004,730,63
15,5,2004,4237,156
15,6,2004,1239,53
15,7,2004,877,176
15,8,2004,1260,1388
15,9,2004,1534,330
15,10,2004,1135,65
15,11,2004,120,50
15,12,2004,1372,271
15,13,2004,275,0
15,14,2004,1398,77
15,15,2004,608,244
15,17,2004,195,31
15,18,2004,307,35
15,19,2004,1037,96
15,20,2004,1961,519
15,21,2004,1729,296
15,22,2004,2467,0
16,3,2004,4,0
16,4,2004,585,13
16,5,2004,2115,229
16,6,2004,407,34
16,7,2004,523,112
16,8,2004,548,988
16,10,2004,490,5
16,11,2004,133,7
16,12,2004,1021,119
16,13,2004,66,0
16,14,2004,1791,27
16,15,2004,538,114
16,17,2004,252,60
16,18,2004,139,0
16,19,2004,987,108
16,20,2004,1008,345
16,21,2004,909,79
16,22,2004,765,0
17,1,2004,2,0
17,2,2004,141,58
17,3,2004,46,51
17,4,2004,1227,171
17,5,2004,6004,596
17,6,2004,1100,109
17,7,2004,601,325
17,8,2004,1338,842
17,9,2004,1743,304
17,10,2004,1355,127
17,11,2004,259,69
17,12,2004,1439,627
17,13,2004,148,22
17,14,2004,1798,86
17,15,2004,1455,229
17,17,2004,268,138
17,18,2004,324,133
17,19,2004,1874,146
17,20,2004,1848,459
17,21,2004,2458,323
17,22,2004,1503,0
18,2,2004,200,0
18,3,2004,12,0
18,4,2004,1266,142
18,5,2004,4279,741
18,6,2004,1249,62
18,7,2004,934,106
18,8,2004,1378,928
18,9,2004,626,95
18,10,2004,2033,187
18,11,2004,235,117
18,12,2004,572,512
18,13,2004,468,126
18,14,2004,989,132
18,15,2004,1398,792
18,17,2004,124,64
18,18,2004,209,113
18,19,2004,1369,117
18,20,2004,663,389
18,21,2004,1981,394
18,22,2004,2736,0
19,1,2004,13,0
19,2,2004,44,79
19,4,2004,723,85
19,5,2004,4492,295
19,6,2004,834,72
19,7,2004,2025,169
19,8,2004,1520,978
19,9,2004,2784,1893
19,10,2004,1897,141
19,11,2004,99,40
19,12,2004,1607,253
19,13,2004,101,114
19,14,2004,441,93
19,15,2004,649,291
19,16,2004,0,661
19,17,2004,128,49
19,18,2004,192,85
19,19,2004,793,123
19,20,2004,882,527
19,21,2004,1091,234
19,22,2004,1348,0
20,1,2004,2631,132
20,2,2004,1177,49
20,4,2004,796,24
20,5,2004,1758,60
20,6,2004,210,0
20,7,2004,558,39
20,8,2004,903,125
20,9,2004,4943,204
20,10,2004,318,0
20,11,2004,51,0
20,13,2004,429,0
20,14,2004,392,14
20,15,2004,510,36
20,17,2004,252,14
20,18,2004,323,0
20,19,2004,267,37
20,20,2004,286,12
20,21,2004,764,0
20,22,2004,97,0
21,4,2004,304,26
21,5,2004,1733,111
21,6,2004,350,0
21,7,2004,224,27
21,8,2004,0,238
21,10,2004,144,0
21,11,2004,85,4
21,14,2004,1007,0
21,15,2004,199,53
21,17,2004,86,13
21,18,2004,65,0
21,19,2004,679,26
21,21,2004,862,36
21,22,2004,482,1
22,4,2004,287,15
22,5,2004,1132,53
22,6,2004,277,0
22,7,2004,163,0
22,8,2004,271,244
22,9,2004,0,3
22,10,2004,411,0
22,11,2004,56,0
22,12,2004,260,48
22,14,2004,770,30
22,15,2004,320,40
22,17,2004,88,0
22,18,2004,128,0
22,19,2004,478,1
22,20,2004,184,39
22,21,2004,1017,43
22,22,2004,1064,0
23,1,2004,25,0
23,4,2004,340,0
23,5,2004,967,103
23,6,2004,176,0
23,7,2004,243,0
23,8,2004,368,247
23,10,2004,220,0
23,11,2004,51,0
23,12,2004,380,0
23,14,2004,1212,27
23,15,2004,195,36
23,17,2004,123,0
23,18,2004,89,0
23,19,2004,395,56
23,20,2004,349,207
23,21,2004,593,23
23,22,2004,466,0
