Campus,Year,TotalEnrollment_AY,FTE_AY
3,2001,16468,14786
3,2002,15929,14281
3,2003,15365,13861
3,2004,15513,14161
4,1965,44,38
4,1966,135,118
4,1967,470,403
4,1968,1035,890
4,1969,1806,1586
4,1970,2652,2262
4,1971,3625,2941
4,1972,4080,3314
4,1973,4908,3847
4,1974,5796,4491
4,1975,6621,5018
4,1976,6456,4786
4,1977,6737,4808
4,1978,6716,4778
4,1979,6972,4909
4,1980,7609,5359
4,1981,7889,5565
4,1982,8064,5761
4,1983,7890,5729
4,1984,7477,5363
4,1985,7273,5245
4,1986,7410,4899
4,1987,7869,5093
4,1988,8142,5236
4,1989,8888,5768
4,1990,9680,6211
4,1991,10200,6594
4,1992,10282,6881
4,1993,9731,6491
4,1994,9672,6452
4,1995,9903,6637
4,1996,10341,6969
4,1997,10700,7071
4,1998,12132,7741
4,1999,12487,7888
4,2000,12710,8060
4,2001,12967,8190
4,2002,13244,8581
4,2003,13133,8785
4,2004,12359,8403
5,1959,313,136
5,1960,978,457
5,1961,1371,687
5,1962,1726,945
5,1963,2413,1654
5,1964,3890,2860
5,1965,4588,3535
5,1966,5331,4153
5,1967,6753,5253
5,1968,8421,6675
5,1969,9547,7686
5,1970,11158,9149
5,1971,12000,9702
5,1972,12166,9597
5,1973,11680,8905
5,1974,11147,8315
5,1975,11239,8250
5,1976,10789,7938
5,1977,10299,7588
5,1978,9999,7314
5,1979,10062,7459
5,1980,10237,7628
5,1981,10866,8139
5,1982,11269,8467
5,1983,11449,8610
5,1984,11537,8649
5,1985,11727,8681
5,1986,11935,8679
5,1987,12030,8686
5,1988,12188,8799
5,1989,12298,8933
5,1990,12721,9225
5,1991,12670,9250
5,1992,12494,9422
5,1993,12218,9474
5,1994,12246,9568
5,1995,12235,9575
5,1996,12464,9704
5,1997,12518,9755
5,1998,12480,9811
5,1999,12276,9680
5,2000,12287,9670
5,2001,12981,10234
5,2002,13400,10610
5,2003,12932,10352
5,2004,12460,10194
6,1935,1653,1391
6,1936,1660,1420
6,1937,1718,1429
6,1938,1870,1620
6,1939,1950,1717
6,1940,2146,1828
6,1941,1874,1591
6,1942,1404,1131
6,1943,987,773
6,1944,1058,866
6,1945,1593,1323
6,1946,2782,2391
6,1947,2962,2580
6,1948,3146,2634
6,1949,3289,2783
6,1950,3372,2708
6,1951,3305,2713
6,1952,3422,2796
6,1953,3799,3117
6,1954,4492,3656
6,1955,4844,4087
6,1956,5380,4413
6,1957,5642,4659
6,1958,5853,4683
6,1959,5645,4532
6,1960,5758,4579
6,1961,6079,4813
6,1962,6707,5329
6,1963,7161,5721
6,1964,7896,6374
6,1965,8131,6785
6,1966,8661,7406
6,1967,9588,8187
6,1968,10879,9305
6,1969,12966,11294
6,1970,13712,12334
6,1971,14688,12666
6,1972,15088,13169
6,1973,15287,13135
6,1974,15180,13041
6,1975,15275,12814
6,1976,14759,12394
6,1977,14972,12405
6,1978,14413,11968
6,1979,14568,12114
6,1980,15412,12847
6,1981,15798,13124
6,1982,15839,13349
6,1983,15982,13575
6,1984,16206,13743
6,1985,16694,13882
6,1986,17608,14542
6,1987,18128,14916
6,1988,18841,15306
6,1989,19325,15682
6,1990,19508,15825
6,1991,19332,15975
6,1992,18214,15282
6,1993,17430,14817
6,1994,16979,14587
6,1995,17122,14792
6,1996,17193,14690
6,1997,17776,14880
6,1998,17913,15085
6,1999,18135,15297
6,2000,18788,15627
6,2001,19698,16348
6,2002,20546,16843
6,2003,21141,17241
6,2004,19703,16986
7,1957,349,88
7,1958,284,66
7,1959,466,180
7,1960,1129,606
7,1961,1741,968
7,1962,2594,1376
7,1963,3671,2088
7,1964,4971,3149
7,1965,6391,4236
7,1966,7528,5290
7,1967,9032,6438
7,1968,10792,7913
7,1969,12835,9526
7,1970,14213,10656
7,1971,15590,11406
7,1972,17579,12649
7,1973,18858,13327
7,1974,20057,14005
7,1975,21386,14687
7,1976,21283,14610
7,1977,21198,14438
7,1978,21020,14424
7,1979,21635,14886
7,1980,22214,15438
7,1981,22812,15964
7,1982,22689,15889
7,1983,22517,15909
7,1984,22704,16062
7,1985,23227,16383
7,1986,23839,16698
7,1987,23843,16811
7,1988,24437,17208
7,1989,24798,17519
7,1990,25428,17939
7,1991,24764,16925
7,1992,23595,16286
7,1993,22139,15423
7,1994,21839,15414
7,1995,22534,15971
7,1996,23886,17044
7,1997,24522,17826
7,1998,25613,18538
7,1999,27215,19839
7,2000,28616,20852
7,2001,30401,22034
7,2002,31844,23038
7,2003,31720,22953
7,2004,33079,24395
8,1935,338,287
8,1936,328,294
8,1937,322,296
8,1938,350,339
8,1939,424,401
8,1940,432,422
8,1941,368,358
8,1942,267,266
8,1943,159,160
8,1944,173,159
8,1945,255,239
8,1946,652,615
8,1947,704,686
8,1948,704,674
8,1949,751,698
8,1950,624,542
8,1951,592,498
8,1952,653,523
8,1953,812,632
8,1954,1068,866
8,1955,1244,1063
8,1956,1404,1168
8,1957,1596,1345
8,1958,1790,1498
8,1959,1828,1542
8,1960,2037,1700
8,1961,2102,1727
8,1962,2391,1951
8,1963,2532,2105
8,1964,2883,2446
8,1965,3144,2739
8,1966,3326,2971
8,1967,3751,3460
8,1968,4405,4168
8,1969,5173,4840
8,1970,5672,5253
8,1971,6060,5428
8,1972,6606,5955
8,1973,7053,6458
8,1974,7175,6591
8,1975,7203,6590
8,1976,7048,6422
8,1977,7234,6573
8,1978,7076,6475
8,1979,7186,6587
8,1980,7258,6618
8,1981,7145,6565
8,1982,6876,6442
8,1983,6285,5896
8,1984,6010,5596
8,1985,6053,5674
8,1986,5844,5290
8,1987,6222,5637
8,1988,6753,6240
8,1989,7355,6792
8,1990,7652,7103
8,1991,7779,7220
8,1992,7623,7218
8,1993,6887,6420
8,1994,7029,6626
8,1995,7374,6989
8,1996,7545,7159
8,1997,7420,7038
8,1998,7409,7091
8,1999,7440,7020
8,2000,7313,6838
8,2001,7277,6775
8,2002,7553,6992
8,2003,7585,7030
8,2004,7367,6859
9,1949,432,263
9,1950,1058,695
9,1951,1964,1112
9,1952,2344,1295
9,1953,3194,1705
9,1954,4189,2344
9,1955,5568,3217
9,1956,7056,4271
9,1957,8304,5184
9,1958,9282,5947
9,1959,9081,6234
9,1960,10001,6795
9,1961,11124,7592
9,1962,12648,8608
9,1963,14710,9954
9,1964,17012,11652
9,1965,18800,13181
9,1966,20369,14550
9,1967,23088,16090
9,1968,25757,18361
9,1969,26611,19027
9,1970,26888,19854
9,1971,28540,19954
9,1972,29410,20086
9,1973,30185,20632
9,1974,30953,20884
9,1975,32210,21729
9,1976,31703,21706
9,1977,32164,22018
9,1978,30550,21221
9,1979,30229,21137
9,1980,30668,21413
9,1981,31118,21972
9,1982,31181,22237
9,1983,30846,22130
9,1984,30546,21803
9,1985,32007,22917
9,1986,33176,23562
9,1987,34194,24187
9,1988,34045,24167
9,1989,32729,23012
9,1990,33543,23724
9,1991,31633,22203
9,1992,28758,20539
9,1993,26242,19113
9,1994,25749,19022
9,1995,25920,19252
9,1996,26682,19754
9,1997,27151,20229
9,1998,27861,20919
9,1999,29387,22274
9,2000,30125,23094
9,2001,32693,25129
9,2002,33745,25865
9,2003,33363,25639
9,2004,32758,25418
10,1947,238,229
10,1948,1857,1025
10,1949,2937,1784
10,1950,3696,2307
10,1951,4051,2378
10,1952,4608,2675
10,1953,6044,3075
10,1954,7257,3781
10,1955,8424,4351
10,1956,8910,4713
10,1957,10061,5416
10,1958,12176,6396
10,1959,13648,7693
10,1960,14185,8742
10,1961,15863,9894
10,1962,17239,10562
10,1963,18649,11371
10,1964,19873,12021
10,1965,18652,11436
10,1966,19252,11934
10,1967,18433,12452
10,1968,19619,13441
10,1969,21030,14684
10,1970,21423,15348
10,1971,22486,15225
10,1972,22922,15281
10,1973,22884,14993
10,1974,23103,15026
10,1975,24072,15625
10,1976,23479,15229
10,1977,23531,15277
10,1978,22214,14344
10,1979,21202,13757
10,1980,20820,13536
10,1981,21024,13909
10,1982,20291,13603
10,1983,19389,13167
10,1984,19063,12906
10,1985,19670,13245
10,1986,20070,13359
10,1987,19913,13249
10,1988,20054,13360
10,1989,20029,13426
10,1990,20746,13961
10,1991,19933,13124
10,1992,18497,12527
10,1993,17369,11792
10,1994,17750,12296
10,1995,17723,12340
10,1996,18273,12671
10,1997,18818,13039
10,1998,19305,13382
10,1999,19198,13337
10,2000,19317,13446
10,2001,20191,14205
10,2002,20582,14713
10,2003,20015,14696
10,2004,19190,14377
11,1994,422,468
11,1995,362,451
11,1996,351,446
11,1997,379,492
11,1998,433,575
11,1999,542,684
11,2000,597,719
11,2001,561,764
11,2002,637,809
11,2003,657,868
11,2004,704,872
12,1995,717,672
12,1996,1312,1286
12,1997,1577,1533
12,1998,1936,1825
12,1999,2228,2114
12,2000,2539,2428
12,2001,2983,2839
12,2002,3484,3287
12,2003,3702,3570
12,2004,3710,3578
13,1956,1624,646
13,1957,2737,1308
13,1958,3658,1856
13,1959,4598,2596
13,1960,6048,3875
13,1961,7256,4828
13,1962,8594,5833
13,1963,9944,6805
13,1964,12068,8538
13,1965,12754,9408
13,1966,13782,10339
13,1967,15687,11684
13,1968,17724,13471
13,1969,20401,15639
13,1970,22623,17843
13,1971,24080,18065
13,1972,24383,18281
13,1973,24518,17990
13,1974,25141,18171
13,1975,26820,18995
13,1976,26454,18730
13,1977,27312,19106
13,1978,26934,18856
13,1979,27434,19405
13,1980,27430,19498
13,1981,26733,19002
13,1982,27486,19743
13,1983,27167,19654
13,1984,27641,19800
13,1985,28453,20402
13,1986,29328,20903
13,1987,29260,20843
13,1988,30762,21763
13,1989,30349,21334
13,1990,30617,21437
13,1991,30004,21135
13,1992,27834,19590
13,1993,26048,18380
13,1994,23976,17123
13,1995,24962,17890
13,1996,26590,19084
13,1997,27086,19554
13,1998,27054,19615
13,1999,27723,20215
13,2000,29003,21296
13,2001,31565,23135
13,2002,33028,24353
13,2003,32702,24134
13,2004,31674,23485
14,1947,386,400
14,1948,404,432
14,1949,427,431
14,1950,379,378
14,1951,317,323
14,1952,386,417
14,1953,405,440
14,1954,361,400
14,1955,373,403
14,1956,468,491
14,1957,760,783
14,1958,1193,1194
14,1959,1630,1628
14,1960,2095,2051
14,1961,2631,2539
14,1962,3236,3104
14,1963,3692,3498
14,1964,4252,4037
14,1965,4680,4463
14,1966,5172,4882
14,1967,5730,5390
14,1968,6789,6345
14,1969,7577,7183
14,1970,8433,7835
14,1971,9607,8754
14,1972,10207,9079
14,1973,10128,8746
14,1974,10801,9249
14,1975,12188,10228
14,1976,12889,10793
14,1977,13497,11147
14,1978,13845,11336
14,1979,14430,11853
14,1980,15478,12745
14,1981,15317,12574
14,1982,15869,13055
14,1983,16071,13199
14,1984,16486,13286
14,1985,16735,13440
14,1986,17222,13649
14,1987,17773,13974
14,1988,18292,14395
14,1989,18959,14879
14,1990,18982,14934
14,1991,18471,14482
14,1992,17241,13533
14,1993,16336,12821
14,1994,15909,12561
14,1995,16177,12933
14,1996,16278,13111
14,1997,16772,13613
14,1998,17200,14097
14,1999,17616,14296
14,2000,18085,14813
14,2001,18648,15467
14,2002,19232,15969
14,2003,18932,15986
14,2004,18390,15528
15,1947,414,162
15,1948,1044,610
15,1949,1528,912
15,1950,1894,1105
15,1951,1942,1027
15,1952,2262,963
15,1953,2868,1419
15,1954,3537,1925
15,1955,4404,2588
15,1956,5152,3001
15,1957,5788,3406
15,1958,6207,3671
15,1959,6144,3880
15,1960,6120,4009
15,1961,6186,4251
15,1962,7318,4791
15,1963,8241,5362
15,1964,9119,6192
15,1965,9660,6752
15,1966,10504,7570
15,1967,12062,8980
15,1968,13588,10491
15,1969,14654,11962
15,1970,15807,12639
15,1971,17432,14146
15,1972,17844,14670
15,1973,18606,15002
15,1974,19656,15225
15,1975,20502,15848
15,1976,20173,15611
15,1977,20590,15919
15,1978,20158,15682
15,1979,20821,16217
15,1980,21873,17050
15,1981,21632,16958
15,1982,21521,16937
15,1983,21509,17030
15,1984,22022,17338
15,1985,22930,17700
15,1986,23411,17758
15,1987,23821,17945
15,1988,24768,18589
15,1989,25213,19000
15,1990,25751,19442
15,1991,25358,19019
15,1992,23888,18103
15,1993,22678,17308
15,1994,22286,17048
15,1995,22352,17194
15,1996,22776,17593
15,1997,23027,17885
15,1998,23340,18261
15,1999,24207,18801
15,2000,25396,19701
15,2001,26596,20652
15,2002,27759,21529
15,2003,27652,21698
15,2004,27494,21717
16,1965,290,249
16,1966,588,515
16,1967,923,807
16,1968,1294,1128
16,1969,1825,1611
16,1970,2234,2003
16,1971,2422,2151
16,1972,2613,2268
16,1973,3039,2592
16,1974,3489,2843
16,1975,3962,3148
16,1976,4002,3086
16,1977,4294,3222
16,1978,4122,3038
16,1979,4091,3030
16,1980,4508,3312
16,1981,4719,3504
16,1982,4908,3689
16,1983,5239,3955
16,1984,5661,4302
16,1985,6391,4782
16,1986,7212,5346
16,1987,8160,6095
16,1988,9362,7099
16,1989,10494,7255
16,1990,11442,8098
16,1991,12019,8709
16,1992,11898,8953
16,1993,11644,8950
16,1994,11429,8832
16,1995,11514,8927
16,1996,11993,9353
16,1997,12989,10088
16,1998,13471,10553
16,1999,14168,11035
16,2000,14917,11548
16,2001,15797,12213
16,2002,16298,12629
16,2003,16034,12587
16,2004,15659,12637
17,1935,1343,1287
17,1936,1449,1382
17,1937,1670,1616
17,1938,1958,1896
17,1939,1986,1916
17,1940,1914,1748
17,1941,1588,1404
17,1942,1244,1126
17,1943,860,742
17,1944,1089,972
17,1945,1918,1622
17,1946,3636,3191
17,1947,4278,3759
17,1948,4440,3811
17,1949,4712,4002
17,1950,4268,3536
17,1951,4134,3262
17,1952,4494,3567
17,1953,5164,4024
17,1954,5782,4614
17,1955,6868,5429
17,1956,8146,6121
17,1957,8579,6458
17,1958,9030,6652
17,1959,9748,7208
17,1960,10967,8166
17,1961,12169,9127
17,1962,13444,10203
17,1963,14229,10954
17,1964,15940,12165
17,1965,16713,12826
17,1966,18074,14211
17,1967,19984,15724
17,1968,21951,17683
17,1969,23293,18860
17,1970,25380,20247
17,1971,26151,20184
17,1972,28869,21758
17,1973,29861,22517
17,1974,30878,23297
17,1975,31281,23782
17,1976,30158,22715
17,1977,30424,22697
17,1978,30182,22567
17,1979,31398,23896
17,1980,33219,25033
17,1981,32760,24698
17,1982,31162,23713
17,1983,31862,24748
17,1984,33045,25487
17,1985,33976,25868
17,1986,34837,26219
17,1987,36017,26819
17,1988,35937,26621
17,1989,35649,26446
17,1990,35125,26354
17,1991,32572,23969
17,1992,29706,22099
17,1993,27493,20925
17,1994,27886,21458
17,1995,29025,22427
17,1996,29740,23075
17,1997,30177,23434
17,1998,30898,24144
17,1999,31040,24261
17,2000,31641,24728
17,2001,33377,26371
17,2002,33288,26723
17,2003,32296,25965
17,2004,31563,25687
18,1935,1554,1376
18,1936,1484,1349
18,1937,1606,1454
18,1938,2022,1834
18,1939,2380,2168
18,1940,2158,1969
18,1941,1706,1506
18,1942,1271,1025
18,1943,914,722
18,1944,936,757
18,1945,1356,1135
18,1946,2646,2422
18,1947,3404,2882
18,1948,4458,3325
18,1949,5222,3865
18,1950,5386,4081
18,1951,5598,4070
18,1952,5829,4191
18,1953,6526,4611
18,1954,7498,5271
18,1955,8068,5543
18,1956,9046,6220
18,1957,9765,6640
18,1958,10785,7057
18,1959,11283,7689
18,1960,11743,8533
18,1961,12569,9467
18,1962,13925,10422
18,1963,15344,11537
18,1964,15060,11592
18,1965,15723,11921
18,1966,17977,13635
18,1967,17758,13585
18,1968,17644,13285
18,1969,17858,13688
18,1970,18264,14446
18,1971,18910,14152
18,1972,20883,15848
18,1973,21431,16228
18,1974,21257,15850
18,1975,23605,17343
18,1976,22985,16727
18,1977,23851,17385
18,1978,23416,17128
18,1979,23646,17377
18,1980,24031,17640
18,1981,23846,17355
18,1982,24130,17672
18,1983,23645,17544
18,1984,23871,17671
18,1985,24782,18115
18,1986,25574,18737
18,1987,26346,19141
18,1988,27817,20207
18,1989,28826,20637
18,1990,28959,20522
18,1991,27281,19341
18,1992,26051,18397
18,1993,25151,18161
18,1994,25750,18780
18,1995,26595,19596
18,1996,27231,20124
18,1997,26671,19654
18,1998,27029,20051
18,1999,27348,20267
18,2000,26301,19623
18,2001,26585,19779
18,2002,28128,21145
18,2003,28932,21955
18,2004,28299,21840
19,1935,1717,1638
19,1936,1768,1682
19,1937,1939,1861
19,1938,2186,2076
19,1939,2556,2447
19,1940,2650,2513
19,1941,2742,2038
19,1942,2096,1532
19,1943,1432,995
19,1944,1464,1219
19,1945,2307,2273
19,1946,4371,4099
19,1947,5098,4779
19,1948,5836,5439
19,1949,6891,6461
19,1950,5915,5424
19,1951,6239,5532
19,1952,6662,5928
19,1953,7773,6904
19,1954,7854,7157
19,1955,9523,8249
19,1956,10826,8971
19,1957,11842,9588
19,1958,12853,10170
19,1959,13932,10739
19,1960,14468,11592
19,1961,15784,12587
19,1962,17256,13695
19,1963,18930,14836
19,1964,19847,15496
19,1965,19810,15306
19,1966,21379,16491
19,1967,22412,17464
19,1968,22883,18316
19,1969,23654,18758
19,1970,24340,19074
19,1971,25774,19383
19,1972,27247,20177
19,1973,27306,20197
19,1974,26357,19337
19,1975,27221,19683
19,1976,26662,19113
19,1977,27337,19623
19,1978,26128,18875
19,1979,25299,18417
19,1980,24626,18035
19,1981,24319,17694
19,1982,24792,18174
19,1983,24454,18093
19,1984,24517,18071
19,1985,25291,18522
19,1986,26199,19090
19,1987,26726,19470
19,1988,28142,20484
19,1989,29206,21387
19,1990,29879,21649
19,1991,29533,21060
19,1992,27432,19631
19,1993,26192,18858
19,1994,25519,18620
19,1995,25183,18428
19,1996,25414,18807
19,1997,25981,19292
19,1998,26111,19075
19,1999,26303,19259
19,2000,25989,19071
19,2001,27621,20201
19,2002,29706,21614
19,2003,28866,21027
19,2004,28529,21140
20,1947,2109,2154
20,1948,2493,2582
20,1949,2807,2925
20,1950,2436,2545
20,1951,2098,2192
20,1952,2085,2215
20,1953,2177,2342
20,1954,2675,2872
20,1955,3090,3260
20,1956,3749,3888
20,1957,4031,4130
20,1958,4065,4042
20,1959,4236,4129
20,1960,4555,4484
20,1961,4996,4913
20,1962,5637,5489
20,1963,6102,5934
20,1964,6680,6539
20,1965,6928,6804
20,1966,7461,7457
20,1967,8196,8102
20,1968,9439,9303
20,1969,10835,10702
20,1970,11818,11777
20,1971,11693,11437
20,1972,11773,11566
20,1973,12792,12430
20,1974,14099,13606
20,1975,14780,14230
20,1976,14808,14066
20,1977,15220,14248
20,1978,15339,14213
20,1979,15720,14500
20,1980,15856,14558
20,1981,16137,14760
20,1982,15293,14099
20,1983,15335,14168
20,1984,15764,14437
20,1985,15867,14378
20,1986,15545,14060
20,1987,15904,14290
20,1988,16270,14566
20,1989,17295,15387
20,1990,17267,15476
20,1991,17001,15211
20,1992,15610,14111
20,1993,14956,13618
20,1994,15063,13760
20,1995,15703,14456
20,1996,16394,15148
20,1997,16143,14988
20,1998,15736,14598
20,1999,15916,14760
20,2000,16340,15103
20,2001,17552,16272
20,2002,17838,16694
20,2003,17550,16501
20,2004,17229,16127
21,1990,551,344
21,1991,1181,791
21,1992,1952,1356
21,1993,2452,1762
21,1994,2736,1982
21,1995,3674,2695
21,1996,4410,3236
21,1997,4630,3433
21,1998,5113,3797
21,1999,5758,4334
21,2000,6223,4709
21,2001,6562,4954
21,2002,7469,5737
21,2003,7495,5770
21,2004,7418,5854
22,1956,184,71
22,1957,254,128
22,1958,242,124
22,1959,217,115
22,1960,231,115
22,1961,271,127
22,1962,480,276
22,1963,695,433
22,1964,928,657
22,1965,1132,853
22,1966,1433,1145
22,1967,1986,1634
22,1968,2857,2527
22,1969,3395,3154
22,1970,4122,3866
22,1971,5067,4712
22,1972,5203,4880
22,1973,5640,5150
22,1974,5822,5172
22,1975,5957,5055
22,1976,5850,4903
22,1977,5887,4605
22,1978,5705,4362
22,1979,5570,4276
22,1980,5508,4285
22,1981,5304,4135
22,1982,5463,4274
22,1983,5307,4166
22,1984,5254,4086
22,1985,5450,4124
22,1986,5698,4320
22,1987,6194,4592
22,1988,6629,4987
22,1989,7044,5386
22,1990,7467,5795
22,1991,7549,6006
22,1992,6893,5439
22,1993,6453,5197
22,1994,6581,5317
22,1995,6709,5529
22,1996,6932,5771
22,1997,6985,5882
22,1998,6982,5883
22,1999,7073,5978
22,2000,7278,6224
22,2001,7527,6464
22,2002,7911,6810
22,2003,8099,6997
22,2004,7865,6778
23,1960,779,321
23,1961,750,310
23,1962,726,296
23,1963,761,324
23,1964,688,325
23,1965,681,464
23,1966,923,706
23,1967,1197,934
23,1968,1656,1347
23,1969,2173,1867
23,1970,2582,2355
23,1971,2610,2357
23,1972,2658,2342
23,1973,2471,2175
23,1974,2716,2302
23,1975,2987,2447
23,1976,3076,2430
23,1977,3284,2513
23,1978,3193,2474
23,1979,3359,2564
23,1980,3721,2860
23,1981,3931,3031
23,1982,3971,3118
23,1983,3920,3106
23,1984,3856,3018
23,1985,4037,3128
23,1986,4393,3392
23,1987,4633,3541
23,1988,4914,3750
23,1989,5154,3993
23,1990,5394,4179
23,1991,5319,4169
23,1992,5396,4266
23,1993,5399,4420
23,1994,5474,4531
23,1995,5542,4635
23,1996,5735,4761
23,1997,5793,4889
23,1998,5974,5092
23,1999,6168,5290
23,2000,6650,5611
23,2001,7074,5874
23,2002,7431,6202
23,2003,7396,6184
23,2004,7364,6255
